場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
東京,直線長め・持続型,芝,短中距離(1400-1600),良,内枠(1-2),母父,アグネスタキオン,108,10,28,0.0926,0.2593,70.2,0.0,7.47,0.2047,0.0546,1.267,B,東京芝短中距離(1400-1600)・良・内枠(1-2)で母父「アグネスタキオン」は基準比リフト1.267
小倉,小回り・機動型,芝,中距離(1700-2000),良,中枠(3-6),母父,ディープインパクト,129,14,36,0.1085,0.2791,56.0,0.0,6.82,0.2218,0.0573,1.258,B,小倉芝中距離(1700-2000)・良・中枠(3-6)で母父「ディープインパクト」は基準比リフト1.258
小倉,小回り・機動型,芝,中距離(1700-2000),良,中枠(3-6),母父,フレンチデピュティ,104,10,29,0.0962,0.2788,63.0,0.0,7.17,0.2218,0.057,1.257,B,小倉芝中距離(1700-2000)・良・中枠(3-6)で母父「フレンチデピュティ」は基準比リフト1.257
新潟,直線長め・平坦型,芝,短中距離(1400-1600),良,中枠(3-6),母父,キングカメハメハ,94,10,23,0.1064,0.2447,91.1,0.0,7.61,0.1947,0.05,1.257,B,新潟芝短中距離(1400-1600)・良・中枠(3-6)で母父「キングカメハメハ」は基準比リフト1.257
中山,坂あり・パワー型,ダ,中距離(1700-2000),良,外枠(7-8),母父,クロフネ,93,8,26,0.086,0.2796,49.1,0.0,7.45,0.2226,0.057,1.256,B,中山ダ中距離(1700-2000)・良・外枠(7-8)で母父「クロフネ」は基準比リフト1.256
福島,小回り・機動型,芝,短距離(1000-1300),良,中枠(3-6),母父,フレンチデピュティ,97,11,23,0.1134,0.2371,73.4,0.0,7.18,0.1887,0.0484,1.256,B,福島芝短距離(1000-1300)・良・中枠(3-6)で母父「フレンチデピュティ」は基準比リフト1.256
新潟,直線長め・平坦型,芝,中距離(1700-2000),良,中枠(3-6),母父,キングカメハメハ,107,7,29,0.0654,0.271,47.3,0.0,7.24,0.2171,0.0539,1.248,B,新潟芝中距離(1700-2000)・良・中枠(3-6)で母父「キングカメハメハ」は基準比リフト1.248
東京,直線長め・持続型,芝,短中距離(1400-1600),良,内枠(1-2),母父,フレンチデピュティ,94,7,24,0.0745,0.2553,453.5,0.0,8.0,0.2047,0.0506,1.247,B,東京芝短中距離(1400-1600)・良・内枠(1-2)で母父「フレンチデピュティ」は基準比リフト1.247
新潟,直線長め・平坦型,ダ,中距離(1700-2000),良,中枠(3-6),母父,フレンチデピュティ,105,12,28,0.1143,0.2667,94.5,0.0,7.23,0.2144,0.0523,1.244,B,新潟ダ中距離(1700-2000)・良・中枠(3-6)で母父「フレンチデピュティ」は基準比リフト1.244
阪神,坂あり・パワー型,ダ,中距離(1700-2000),良,内枠(1-2),母父,フレンチデピュティ,86,5,22,0.0581,0.2558,35.9,0.0,7.59,0.206,0.0498,1.242,B,阪神ダ中距離(1700-2000)・良・内枠(1-2)で母父「フレンチデピュティ」は基準比リフト1.242
阪神,坂あり・パワー型,ダ,短中距離(1400-1600),稍,中枠(3-6),母父,サンデーサイレンス,86,8,21,0.093,0.2442,78.0,0.0,6.63,0.1968,0.0474,1.241,B,阪神ダ短中距離(1400-1600)・稍・中枠(3-6)で母父「サンデーサイレンス」は基準比リフト1.241
中山,坂あり・パワー型,芝,中長距離(2100-2400),良,中枠(3-6),母父,サンデーサイレンス,112,7,29,0.0625,0.2589,65.9,0.0,6.71,0.2088,0.0501,1.24,B,中山芝中長距離(2100-2400)・良・中枠(3-6)で母父「サンデーサイレンス」は基準比リフト1.24
中山,坂あり・パワー型,ダ,短距離(1000-1300),良,外枠(7-8),母父,フジキセキ,123,7,31,0.0569,0.252,42.2,0.0,8.04,0.2034,0.0486,1.239,B,中山ダ短距離(1000-1300)・良・外枠(7-8)で母父「フジキセキ」は基準比リフト1.239
福島,小回り・機動型,芝,短距離(1000-1300),良,中枠(3-6),母父,アグネスタキオン,107,9,25,0.0841,0.2336,62.4,0.0,8.56,0.1887,0.0449,1.238,B,福島芝短距離(1000-1300)・良・中枠(3-6)で母父「アグネスタキオン」は基準比リフト1.238
阪神,坂あり・パワー型,ダ,短中距離(1400-1600),良,中枠(3-6),母父,アグネスタキオン,116,9,29,0.0776,0.25,67.1,0.0,7.7,0.2031,0.0469,1.231,B,阪神ダ短中距離(1400-1600)・良・中枠(3-6)で母父「アグネスタキオン」は基準比リフト1.231
阪神,坂あり・パワー型,ダ,中距離(1700-2000),良,中枠(3-6),母父,マンハッタンカフェ,93,12,26,0.129,0.2796,103.9,0.0,6.97,0.2273,0.0523,1.23,B,阪神ダ中距離(1700-2000)・良・中枠(3-6)で母父「マンハッタンカフェ」は基準比リフト1.23
東京,直線長め・持続型,芝,短中距離(1400-1600),良,外枠(7-8),母父,キングカメハメハ,123,7,30,0.0569,0.2439,25.1,0.0,7.21,0.1988,0.0451,1.227,B,東京芝短中距離(1400-1600)・良・外枠(7-8)で母父「キングカメハメハ」は基準比リフト1.227
阪神,坂あり・パワー型,芝,短中距離(1400-1600),良,外枠(7-8),母父,ディープインパクト,94,8,22,0.0851,0.234,33.4,0.0,6.55,0.1907,0.0433,1.227,B,阪神芝短中距離(1400-1600)・良・外枠(7-8)で母父「ディープインパクト」は基準比リフト1.227
