分類,場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,ダ,短距離(1000-1300),重不良,中枠(3-6),父系統,ニアークティック系,167,15,46,0.0898,0.2754,144.1,0.0,7.72,0.2085,0.0669,1.321,A,京都ダ短距離(1000-1300)・重不良・中枠(3-6)で父系統「ニアークティック系」は基準比リフト1.321
競馬場×距離帯×馬場×枠,中山,坂あり・パワー型,芝,短中距離(1400-1600),良,中枠(3-6),父,ダイワメジャー,219,19,58,0.0868,0.2648,62.2,0.0,5.8,0.2014,0.0634,1.315,A,中山芝短中距離(1400-1600)・良・中枠(3-6)で父「ダイワメジャー」は基準比リフト1.315
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,芝,中距離(1700-2000),良,中枠(3-6),父,マンハッタンカフェ,183,24,59,0.1311,0.3224,100.8,0.0,6.21,0.2454,0.077,1.314,A,京都芝中距離(1700-2000)・良・中枠(3-6)で父「マンハッタンカフェ」は基準比リフト1.314
競馬場×距離帯×馬場×枠,福島,小回り・機動型,ダ,中距離(1700-2000),稍,中枠(3-6),父系統,父系統不明,202,16,53,0.0792,0.2624,69.6,0.0,7.3,0.1998,0.0626,1.313,A,福島ダ中距離(1700-2000)・稍・中枠(3-6)で父系統「父系統不明」は基準比リフト1.313
競馬場×距離帯×馬場×枠,中山,坂あり・パワー型,ダ,中距離(1700-2000),稍,内枠(1-2),母父系統,ネイティヴダンサー系,316,22,76,0.0696,0.2405,101.0,0.0,7.76,0.1835,0.057,1.311,A,中山ダ中距離(1700-2000)・稍・内枠(1-2)で母父系統「ネイティヴダンサー系」は基準比リフト1.311
競馬場×距離帯×馬場×枠,中京,直線長め・持続型,芝,短距離(1000-1300),良,中枠(3-6),父系統,父系統不明,329,24,85,0.0729,0.2584,81.0,0.0,7.48,0.1973,0.0611,1.31,A,中京芝短距離(1000-1300)・良・中枠(3-6)で父系統「父系統不明」は基準比リフト1.31
競馬場×距離帯×馬場×枠,中山,坂あり・パワー型,芝,中距離(1700-2000),良,中枠(3-6),父,キングカメハメハ,247,21,70,0.085,0.2834,46.6,0.0,6.36,0.2165,0.0669,1.309,A,中山芝中距離(1700-2000)・良・中枠(3-6)で父「キングカメハメハ」は基準比リフト1.309
競馬場×距離帯×馬場×枠,小倉,小回り・機動型,芝,短距離(1000-1300),良,内枠(1-2),母父,サンデーサイレンス,161,13,40,0.0807,0.2484,74.0,0.0,7.2,0.1897,0.0587,1.309,A,小倉芝短距離(1000-1300)・良・内枠(1-2)で母父「サンデーサイレンス」は基準比リフト1.309
競馬場×距離帯×馬場×枠,小倉,小回り・機動型,芝,短距離(1000-1300),稍,中枠(3-6),母父系統,ナスルーラ系,151,10,38,0.0662,0.2517,60.1,0.0,8.72,0.1925,0.0592,1.308,A,小倉芝短距離(1000-1300)・稍・中枠(3-6)で母父系統「ナスルーラ系」は基準比リフト1.308
競馬場×距離帯×馬場×枠,中山,坂あり・パワー型,芝,中距離(1700-2000),良,外枠(7-8),父,ステイゴールド,166,19,45,0.1145,0.2711,77.8,0.0,7.34,0.2074,0.0637,1.307,A,中山芝中距離(1700-2000)・良・外枠(7-8)で父「ステイゴールド」は基準比リフト1.307
