場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
小倉,小回り・機動型,ダ,中距離(1700-2000),稍,中枠(3-6),母父系統,ロイヤルチャージャー系,622,62,142,0.0997,0.2283,94.3,0.0,7.71,0.2059,0.0224,1.109,A,小倉ダ中距離(1700-2000)・稍・中枠(3-6)で母父系統「ロイヤルチャージャー系」は基準比リフト1.109
京都,平坦・スピード型,ダ,中距離(1700-2000),重不良,外枠(7-8),母父系統,ネイティヴダンサー系,184,18,48,0.0978,0.2609,65.7,0.0,6.97,0.2355,0.0254,1.108,A,京都ダ中距離(1700-2000)・重不良・外枠(7-8)で母父系統「ネイティヴダンサー系」は基準比リフト1.108
阪神,坂あり・パワー型,芝,中距離(1700-2000),稍,中枠(3-6),母父系統,ニアークティック系,312,29,81,0.0929,0.2596,89.1,0.0,7.1,0.2342,0.0254,1.108,A,阪神芝中距離(1700-2000)・稍・中枠(3-6)で母父系統「ニアークティック系」は基準比リフト1.108
中京,直線長め・持続型,芝,中距離(1700-2000),良,内枠(1-2),母父系統,ニアークティック系,409,29,102,0.0709,0.2494,52.0,0.0,7.44,0.2251,0.0243,1.108,A,中京芝中距離(1700-2000)・良・内枠(1-2)で母父系統「ニアークティック系」は基準比リフト1.108
中京,直線長め・持続型,ダ,短中距離(1400-1600),良,中枠(3-6),母父系統,ナスルーラ系,279,26,61,0.0932,0.2186,155.7,0.0,8.38,0.1973,0.0213,1.108,A,中京ダ短中距離(1400-1600)・良・中枠(3-6)で母父系統「ナスルーラ系」は基準比リフト1.108
札幌,小回り・持続型,芝,短中距離(1400-1600),良,中枠(3-6),母父系統,ロイヤルチャージャー系,500,36,137,0.072,0.274,64.8,0.0,6.76,0.2476,0.0264,1.107,A,札幌芝短中距離(1400-1600)・良・中枠(3-6)で母父系統「ロイヤルチャージャー系」は基準比リフト1.107
福島,小回り・機動型,ダ,中距離(1700-2000),良,内枠(1-2),母父系統,ニアークティック系,460,36,108,0.0783,0.2348,109.5,0.0,7.38,0.2121,0.0227,1.107,A,福島ダ中距離(1700-2000)・良・内枠(1-2)で母父系統「ニアークティック系」は基準比リフト1.107
東京,直線長め・持続型,芝,短中距離(1400-1600),重不良,中枠(3-6),母父系統,ニアークティック系,160,12,35,0.075,0.2188,31.4,0.0,7.68,0.1977,0.0211,1.107,A,東京芝短中距離(1400-1600)・重不良・中枠(3-6)で母父系統「ニアークティック系」は基準比リフト1.107
東京,直線長め・持続型,ダ,長距離(2500以上),良,中枠(3-6),母父系統,ネイティヴダンサー系,192,21,50,0.1094,0.2604,112.5,0.0,7.06,0.2354,0.025,1.106,A,東京ダ長距離(2500以上)・良・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.106
阪神,坂あり・パワー型,芝,短中距離(1400-1600),良,内枠(1-2),母父系統,ナスルーラ系,398,30,98,0.0754,0.2462,67.1,0.0,7.74,0.2227,0.0235,1.106,A,阪神芝短中距離(1400-1600)・良・内枠(1-2)で母父系統「ナスルーラ系」は基準比リフト1.106
中京,直線長め・持続型,芝,中距離(1700-2000),良,中枠(3-6),母父系統,ネイティヴダンサー系,586,47,143,0.0802,0.244,76.3,0.0,7.43,0.2207,0.0233,1.106,A,中京芝中距離(1700-2000)・良・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.106
函館,小回り・持続型,ダ,短距離(1000-1300),良,外枠(7-8),母父系統,ロイヤルチャージャー系,281,27,81,0.0961,0.2883,81.9,0.0,6.45,0.261,0.0273,1.105,A,函館ダ短距離(1000-1300)・良・外枠(7-8)で母父系統「ロイヤルチャージャー系」は基準比リフト1.105
中山,坂あり・パワー型,ダ,短距離(1000-1300),重不良,外枠(7-8),母父系統,ニアークティック系,203,20,53,0.0985,0.2611,112.6,0.0,7.61,0.2366,0.0245,1.104,A,中山ダ短距離(1000-1300)・重不良・外枠(7-8)で母父系統「ニアークティック系」は基準比リフト1.104
中山,坂あり・パワー型,ダ,中距離(1700-2000),稍,外枠(7-8),母父系統,ニアークティック系,409,38,96,0.0929,0.2347,65.0,0.0,7.38,0.2128,0.0219,1.103,A,中山ダ中距離(1700-2000)・稍・外枠(7-8)で母父系統「ニアークティック系」は基準比リフト1.103
小倉,小回り・機動型,ダ,中距離(1700-2000),良,内枠(1-2),母父系統,ネイティヴダンサー系,428,31,100,0.0724,0.2336,99.8,0.0,8.19,0.2118,0.0218,1.103,A,小倉ダ中距離(1700-2000)・良・内枠(1-2)で母父系統「ネイティヴダンサー系」は基準比リフト1.103
阪神,坂あり・パワー型,ダ,中距離(1700-2000),不,外枠(7-8),母父系統,ロイヤルチャージャー系,196,19,45,0.0969,0.2296,56.5,0.0,7.47,0.2081,0.0215,1.103,A,阪神ダ中距離(1700-2000)・不・外枠(7-8)で母父系統「ロイヤルチャージャー系」は基準比リフト1.103
札幌,小回り・持続型,芝,中距離(1700-2000),良,内枠(1-2),母父系統,ロイヤルチャージャー系,377,34,115,0.0902,0.305,136.1,0.0,6.71,0.2768,0.0282,1.102,A,札幌芝中距離(1700-2000)・良・内枠(1-2)で母父系統「ロイヤルチャージャー系」は基準比リフト1.102
新潟,直線長め・平坦型,芝,短距離(1000-1300),良,外枠(7-8),母父系統,ナスルーラ系,377,33,97,0.0875,0.2573,89.8,0.0,7.68,0.2335,0.0238,1.102,A,新潟芝短距離(1000-1300)・良・外枠(7-8)で母父系統「ナスルーラ系」は基準比リフト1.102
京都,平坦・スピード型,芝,短中距離(1400-1600),稍,外枠(7-8),母父系統,ロイヤルチャージャー系,216,25,53,0.1157,0.2454,76.0,0.0,7.71,0.2226,0.0228,1.102,A,京都芝短中距離(1400-1600)・稍・外枠(7-8)で母父系統「ロイヤルチャージャー系」は基準比リフト1.102
東京,直線長め・持続型,ダ,短中距離(1400-1600),稍,内枠(1-2),母父系統,ロイヤルチャージャー系,653,36,126,0.0551,0.193,63.0,0.0,8.64,0.1751,0.0179,1.102,A,東京ダ短中距離(1400-1600)・稍・内枠(1-2)で母父系統「ロイヤルチャージャー系」は基準比リフト1.102
中山,坂あり・パワー型,ダ,短距離(1000-1300),重不良,中枠(3-6),母父系統,ネイティヴダンサー系,365,26,77,0.0712,0.211,36.0,0.0,8.19,0.1917,0.0193,1.101,A,中山ダ短距離(1000-1300)・重不良・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.101
函館,小回り・持続型,芝,中距離(1700-2000),良,内枠(1-2),母父系統,ニアークティック系,299,26,93,0.087,0.311,35.9,0.0,6.41,0.2826,0.0284,1.1,A,函館芝中距離(1700-2000)・良・内枠(1-2)で母父系統「ニアークティック系」は基準比リフト1.1
京都,平坦・スピード型,芝,中距離(1700-2000),良,内枠(1-2),母父系統,ナスルーラ系,289,20,76,0.0692,0.263,53.6,0.0,7.32,0.239,0.024,1.1,A,京都芝中距離(1700-2000)・良・内枠(1-2)で母父系統「ナスルーラ系」は基準比リフト1.1
札幌,小回り・持続型,ダ,中距離(1700-2000),良,外枠(7-8),母父系統,ネイティヴダンサー系,447,37,112,0.0828,0.2506,90.0,0.0,6.72,0.2278,0.0228,1.1,A,札幌ダ中距離(1700-2000)・良・外枠(7-8)で母父系統「ネイティヴダンサー系」は基準比リフト1.1
京都,平坦・スピード型,ダ,短距離(1000-1300),重不良,中枠(3-6),母父系統,ロイヤルチャージャー系,279,20,64,0.0717,0.2294,83.9,0.0,7.78,0.2085,0.0209,1.1,A,京都ダ短距離(1000-1300)・重不良・中枠(3-6)で母父系統「ロイヤルチャージャー系」は基準比リフト1.1
阪神,坂あり・パワー型,芝,短中距離(1400-1600),稍,中枠(3-6),母父系統,ネイティヴダンサー系,260,21,59,0.0808,0.2269,81.5,0.0,7.73,0.2062,0.0207,1.1,A,阪神芝短中距離(1400-1600)・稍・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.1
福島,小回り・機動型,ダ,中距離(1700-2000),良,中枠(3-6),母父系統,ネイティヴダンサー系,1003,74,221,0.0738,0.2203,69.5,0.0,7.67,0.2003,0.02,1.1,A,福島ダ中距離(1700-2000)・良・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.1
阪神,坂あり・パワー型,芝,短中距離(1400-1600),重不良,外枠(7-8),母父系統,ニアークティック系,85,3,25,0.0353,0.2941,19.4,0.0,7.86,0.1923,0.1018,1.529,B,阪神芝短中距離(1400-1600)・重不良・外枠(7-8)で母父系統「ニアークティック系」は基準比リフト1.529
新潟,直線長め・平坦型,ダ,短距離(1000-1300),不,中枠(3-6),母父系統,ネイティヴダンサー系,110,10,35,0.0909,0.3182,80.5,0.0,7.53,0.2157,0.1025,1.475,B,新潟ダ短距離(1000-1300)・不・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.475
東京,直線長め・持続型,ダ,短距離(1000-1300),稍,中枠(3-6),母父系統,ニアークティック系,116,11,34,0.0948,0.2931,77.0,0.0,7.41,0.1991,0.094,1.472,B,東京ダ短距離(1000-1300)・稍・中枠(3-6)で母父系統「ニアークティック系」は基準比リフト1.472
新潟,直線長め・平坦型,芝,短中距離(1400-1600),稍,内枠(1-2),母父系統,ロイヤルチャージャー系,135,11,35,0.0815,0.2593,169.8,0.0,7.79,0.1821,0.0772,1.424,B,新潟芝短中距離(1400-1600)・稍・内枠(1-2)で母父系統「ロイヤルチャージャー系」は基準比リフト1.424
阪神,坂あり・パワー型,芝,短中距離(1400-1600),良,中枠(3-6),母父系統,母父系統不明,94,11,29,0.117,0.3085,77.3,0.0,5.57,0.2169,0.0916,1.422,B,阪神芝短中距離(1400-1600)・良・中枠(3-6)で母父系統「母父系統不明」は基準比リフト1.422
中京,直線長め・持続型,芝,中距離(1700-2000),重不良,中枠(3-6),母父系統,ロイヤルチャージャー系,95,9,25,0.0947,0.2632,49.2,0.0,7.33,0.1857,0.0775,1.417,B,中京芝中距離(1700-2000)・重不良・中枠(3-6)で母父系統「ロイヤルチャージャー系」は基準比リフト1.417
福島,小回り・機動型,ダ,中距離(1700-2000),良,中枠(3-6),母父系統,その他のエクリプス系,85,6,24,0.0706,0.2824,72.7,0.0,7.0,0.2003,0.0821,1.41,B,福島ダ中距離(1700-2000)・良・中枠(3-6)で母父系統「その他のエクリプス系」は基準比リフト1.41
中京,直線長め・持続型,ダ,短中距離(1400-1600),重不良,中枠(3-6),母父系統,ネイティヴダンサー系,111,11,32,0.0991,0.2883,64.1,0.0,7.29,0.2048,0.0835,1.408,B,中京ダ短中距離(1400-1600)・重不良・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.408
