分類,場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
競馬場×距離帯×馬場×枠,阪神,坂あり・パワー型,芝,中距離(1700-2000),良,内枠(1-2),父系統,ネイティヴダンサー系,318,39,95,0.1226,0.2987,75.8,0.0,7.32,0.2505,0.0482,1.192,A,阪神芝中距離(1700-2000)・良・内枠(1-2)で父系統「ネイティヴダンサー系」は基準比リフト1.192
競馬場×距離帯×馬場×枠,阪神,坂あり・パワー型,ダ,短中距離(1400-1600),重不良,内枠(1-2),母父系統,ロイヤルチャージャー系,154,10,36,0.0649,0.2338,24.4,0.0,8.27,0.1961,0.0377,1.192,A,阪神ダ短中距離(1400-1600)・重不良・内枠(1-2)で母父系統「ロイヤルチャージャー系」は基準比リフト1.192
競馬場×距離帯×馬場×枠,阪神,坂あり・パワー型,ダ,短距離(1000-1300),稍,内枠(1-2),父系統,父系統不明,156,10,32,0.0641,0.2051,69.4,0.0,7.24,0.1721,0.033,1.192,A,阪神ダ短距離(1000-1300)・稍・内枠(1-2)で父系統「父系統不明」は基準比リフト1.192
競馬場×距離帯×馬場×枠,東京,直線長め・持続型,ダ,短中距離(1400-1600),不,外枠(7-8),母父系統,ロイヤルチャージャー系,285,17,62,0.0596,0.2175,73.4,0.0,8.21,0.1827,0.0348,1.19,A,東京ダ短中距離(1400-1600)・不・外枠(7-8)で母父系統「ロイヤルチャージャー系」は基準比リフト1.19
競馬場×距離帯×馬場×枠,新潟,直線長め・平坦型,ダ,短距離(1000-1300),良,外枠(7-8),父系統,ナスルーラ系,203,13,55,0.064,0.2709,72.8,0.0,7.02,0.2279,0.043,1.189,A,新潟ダ短距離(1000-1300)・良・外枠(7-8)で父系統「ナスルーラ系」は基準比リフト1.189
競馬場×距離帯×馬場×枠,中京,直線長め・持続型,ダ,短中距離(1400-1600),良,中枠(3-6),母父系統,ネイティヴダンサー系,661,46,155,0.0696,0.2345,102.3,0.0,7.69,0.1973,0.0372,1.189,A,中京ダ短中距離(1400-1600)・良・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.189
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,ダ,短中距離(1400-1600),良,外枠(7-8),母父系統,ネイティヴダンサー系,606,59,140,0.0974,0.231,104.9,0.0,7.51,0.1942,0.0368,1.189,A,京都ダ短中距離(1400-1600)・良・外枠(7-8)で母父系統「ネイティヴダンサー系」は基準比リフト1.189
競馬場×距離帯×馬場×枠,東京,直線長め・持続型,芝,短中距離(1400-1600),稍,内枠(1-2),父系統,ロイヤルチャージャー系,355,29,87,0.0817,0.2451,74.8,0.0,7.57,0.2063,0.0388,1.188,A,東京芝短中距離(1400-1600)・稍・内枠(1-2)で父系統「ロイヤルチャージャー系」は基準比リフト1.188
競馬場×距離帯×馬場×枠,東京,直線長め・持続型,ダ,短中距離(1400-1600),良,中枠(3-6),父,シンボリクリスエス,274,17,65,0.062,0.2372,44.7,0.0,6.84,0.1997,0.0375,1.188,A,東京ダ短中距離(1400-1600)・良・中枠(3-6)で父「シンボリクリスエス」は基準比リフト1.188
競馬場×距離帯×馬場×枠,福島,小回り・機動型,ダ,短距離(1000-1300),良,中枠(3-6),父系統,父系統不明,501,33,112,0.0659,0.2236,56.1,0.0,7.81,0.1882,0.0354,1.188,A,福島ダ短距離(1000-1300)・良・中枠(3-6)で父系統「父系統不明」は基準比リフト1.188
